"","aniyr_species","species","population","study_areas_id","aniyr","animals_id","sex","time","total","clc0tcd0","clc1tcd1","clc0tcd1","clc1tcd0","tcd_open_abs","tcd_forest_abs","clc_open_abs","clc_forest_abs","clc0tcd0_prop","clc1tcd1_prop","clc0tcd1_prop","clc1tcd0_prop","tcd_open_prop","tcd_forest_prop","clc_open_prop","clc_forest_prop","yearx"
"146","1777_2011_roe","roe",8,8,"1777_2011",1777,"m","day",170,116,44,5,5,121,49,121,49,0.682352941176471,0.258823529411765,0.0294117647058824,0.0294117647058824,0.711764705882353,0.288235294117647,0.711764705882353,0.288235294117647,"2011"
"183","1807_2009_roe","roe",8,8,"1807_2009",1807,"m","night",176,172,0,4,0,172,4,176,0,0.977272727272727,0,0.0227272727272727,0,0.977272727272727,0.0227272727272727,1,0,"2009"
"184","1807_2009_roe","roe",8,8,"1807_2009",1807,"m","day",165,147,2,16,0,147,18,163,2,0.890909090909091,0.0121212121212121,0.096969696969697,0,0.890909090909091,0.109090909090909,0.987878787878788,0.0121212121212121,"2009"
"185","1807_2011_roe","roe",8,8,"1807_2011",1807,"m","night",180,173,0,7,0,173,7,180,0,0.961111111111111,0,0.0388888888888889,0,0.961111111111111,0.0388888888888889,1,0,"2011"
"186","1807_2011_roe","roe",8,8,"1807_2011",1807,"m","day",161,127,0,34,0,127,34,161,0,0.788819875776398,0,0.211180124223602,0,0.788819875776398,0.211180124223602,1,0,"2011"
"197","1817_2009_roe","roe",8,8,"1817_2009",1817,"f","night",181,173,0,8,0,173,8,181,0,0.955801104972376,0,0.0441988950276243,0,0.955801104972376,0.0441988950276243,1,0,"2009"
"198","1817_2009_roe","roe",8,8,"1817_2009",1817,"f","day",149,108,0,41,0,108,41,149,0,0.724832214765101,0,0.275167785234899,0,0.724832214765101,0.275167785234899,1,0,"2009"
"199","1817_2011_roe","roe",8,8,"1817_2011",1817,"f","night",184,181,0,3,0,181,3,184,0,0.983695652173913,0,0.016304347826087,0,0.983695652173913,0.016304347826087,1,0,"2011"
"200","1817_2011_roe","roe",8,8,"1817_2011",1817,"f","day",164,116,0,48,0,116,48,164,0,0.707317073170732,0,0.292682926829268,0,0.707317073170732,0.292682926829268,1,0,"2011"
"211","1827_2011_roe","roe",8,8,"1827_2011",1827,"f","night",184,174,0,10,0,174,10,184,0,0.945652173913043,0,0.0543478260869565,0,0.945652173913043,0.0543478260869565,1,0,"2011"
"212","1827_2011_roe","roe",8,8,"1827_2011",1827,"f","day",180,128,2,50,0,128,52,178,2,0.711111111111111,0.0111111111111111,0.277777777777778,0,0.711111111111111,0.288888888888889,0.988888888888889,0.0111111111111111,"2011"
"225","1835_2011_roe","roe",8,8,"1835_2011",1835,"f","night",160,99,48,10,3,102,58,109,51,0.61875,0.3,0.0625,0.01875,0.6375,0.3625,0.68125,0.31875,"2011"
"226","1835_2011_roe","roe",8,8,"1835_2011",1835,"f","day",141,42,87,11,1,43,98,53,88,0.297872340425532,0.617021276595745,0.0780141843971631,0.00709219858156028,0.304964539007092,0.695035460992908,0.375886524822695,0.624113475177305,"2011"
"237","1857_2011_roe","roe",8,8,"1857_2011",1857,"f","night",182,177,0,5,0,177,5,182,0,0.972527472527473,0,0.0274725274725275,0,0.972527472527473,0.0274725274725275,1,0,"2011"
"238","1857_2011_roe","roe",8,8,"1857_2011",1857,"f","day",174,138,0,36,0,138,36,174,0,0.793103448275862,0,0.206896551724138,0,0.793103448275862,0.206896551724138,1,0,"2011"
"239","1859_2011_roe","roe",8,8,"1859_2011",1859,"m","night",172,143,0,29,0,143,29,172,0,0.831395348837209,0,0.168604651162791,0,0.831395348837209,0.168604651162791,1,0,"2011"
