"","species","population","study_areas_id","aniyr","animals_id","sex","time","total","clc0tcd0","clc1tcd1","clc0tcd1","clc1tcd0","tcd_open_abs","tcd_forest_abs","clc_open_abs","clc_forest_abs","clc0tcd0_prop","clc1tcd1_prop","clc0tcd1_prop","clc1tcd0_prop","tcd_open_prop","tcd_forest_prop","clc_open_prop","clc_forest_prop"
"1827_2011noon.8.33593","roe",8,8,"1827_2011",1827,"f","day",180,128,2,50,0,128,52,178,2,0.711111111111111,0.0111111111111111,0.277777777777778,0,0.711111111111111,0.288888888888889,0.988888888888889,0.0111111111111111
"1828_2010midnight.8.33956","roe",8,8,"1828_2010",1828,"f","night",169,164,0,5,0,164,5,169,0,0.970414201183432,0,0.029585798816568,0,0.970414201183432,0.029585798816568,1,0
"1828_2010noon.8.33957","roe",8,8,"1828_2010",1828,"f","day",133,108,0,25,0,108,25,133,0,0.81203007518797,0,0.18796992481203,0,0.81203007518797,0.18796992481203,1,0
"1829_2010midnight.8.34258","roe",8,8,"1829_2010",1829,"m","night",176,170,0,6,0,170,6,176,0,0.965909090909091,0,0.0340909090909091,0,0.965909090909091,0.0340909090909091,1,0
"1829_2010noon.8.34259","roe",8,8,"1829_2010",1829,"m","day",175,112,0,63,0,112,63,175,0,0.64,0,0.36,0,0.64,0.36,1,0
"1831_2010midnight.8.34609","roe",8,8,"1831_2010",1831,"m","night",166,133,0,33,0,133,33,166,0,0.801204819277108,0,0.198795180722892,0,0.801204819277108,0.198795180722892,1,0
"1831_2010noon.8.34610","roe",8,8,"1831_2010",1831,"m","day",145,60,0,85,0,60,85,145,0,0.413793103448276,0,0.586206896551724,0,0.413793103448276,0.586206896551724,1,0
"1832_2010midnight.8.34920","roe",8,8,"1832_2010",1832,"f","night",178,147,5,10,16,163,15,157,21,0.825842696629214,0.0280898876404494,0.0561797752808989,0.0898876404494382,0.915730337078652,0.0842696629213483,0.882022471910112,0.117977528089888
"1832_2010noon.8.34921","roe",8,8,"1832_2010",1832,"f","day",181,124,3,52,2,126,55,176,5,0.685082872928177,0.0165745856353591,0.287292817679558,0.0110497237569061,0.696132596685083,0.303867403314917,0.972375690607735,0.0276243093922652
"1833_2010midnight.8.35279","roe",8,8,"1833_2010",1833,"f","night",162,2,156,4,0,2,160,6,156,0.0123456790123457,0.962962962962963,0.0246913580246914,0,0.0123456790123457,0.987654320987654,0.037037037037037,0.962962962962963
"1833_2010noon.8.35280","roe",8,8,"1833_2010",1833,"f","day",155,2,149,4,0,2,153,6,149,0.0129032258064516,0.961290322580645,0.0258064516129032,0,0.0129032258064516,0.987096774193548,0.0387096774193548,0.961290322580645
"1834_2010midnight.8.35596","roe",8,8,"1834_2010",1834,"m","night",175,89,59,19,8,97,78,108,67,0.508571428571429,0.337142857142857,0.108571428571429,0.0457142857142857,0.554285714285714,0.445714285714286,0.617142857142857,0.382857142857143
"1834_2010noon.8.35597","roe",8,8,"1834_2010",1834,"m","day",153,15,118,19,1,16,137,34,119,0.0980392156862745,0.77124183006536,0.124183006535948,0.0065359477124183,0.104575163398693,0.895424836601307,0.222222222222222,0.777777777777778
"1835_2011midnight.8.35924","roe",8,8,"1835_2011",1835,"f","night",160,99,48,10,3,102,58,109,51,0.61875,0.3,0.0625,0.01875,0.6375,0.3625,0.68125,0.31875
"1835_2011noon.8.35925","roe",8,8,"1835_2011",1835,"f","day",141,42,87,11,1,43,98,53,88,0.297872340425532,0.617021276595745,0.0780141843971631,0.00709219858156028,0.304964539007092,0.695035460992908,0.375886524822695,0.624113475177305
"1837_2010midnight.8.36225","roe",8,8,"1837_2010",1837,"f","night",179,116,62,1,0,116,63,117,62,0.64804469273743,0.346368715083799,0.00558659217877095,0,0.64804469273743,0.35195530726257,0.653631284916201,0.346368715083799
"1837_2010noon.8.36226","roe",8,8,"1837_2010",1837,"f","day",153,52,101,0,0,52,101,52,101,0.339869281045752,0.660130718954248,0,0,0.339869281045752,0.660130718954248,0.339869281045752,0.660130718954248
"1848_2010midnight.8.36557","roe",8,8,"1848_2010",1848,"f","night",181,175,0,6,0,175,6,181,0,0.966850828729282,0,0.0331491712707182,0,0.966850828729282,0.0331491712707182,1,0
"1848_2010noon.8.36558","roe",8,8,"1848_2010",1848,"f","day",162,131,0,31,0,131,31,162,0,0.808641975308642,0,0.191358024691358,0,0.808641975308642,0.191358024691358,1,0
"1851_2010midnight.8.36900","roe",8,8,"1851_2010",1851,"f","night",176,85,54,8,29,114,62,93,83,0.482954545454545,0.306818181818182,0.0454545454545455,0.164772727272727,0.647727272727273,0.352272727272727,0.528409090909091,0.471590909090909
"1851_2010noon.8.36901","roe",8,8,"1851_2010",1851,"f","day",170,29,90,19,32,61,109,48,122,0.170588235294118,0.529411764705882,0.111764705882353,0.188235294117647,0.358823529411765,0.641176470588235,0.282352941176471,0.717647058823529
"1853_2010midnight.8.37246","roe",8,8,"1853_2010",1853,"f","night",178,156,5,17,0,156,22,173,5,0.876404494382023,0.0280898876404494,0.0955056179775281,0,0.876404494382023,0.123595505617978,0.971910112359551,0.0280898876404494
"1853_2010noon.8.37247","roe",8,8,"1853_2010",1853,"f","day",152,121,7,23,1,122,30,144,8,0.796052631578947,0.0460526315789474,0.151315789473684,0.00657894736842105,0.802631578947368,0.197368421052632,0.947368421052632,0.0526315789473684
