"","species","population","study_areas_id","aniyr","animals_id","sex","time","total","clc0tcd0","clc1tcd1","clc0tcd1","clc1tcd0","tcd_open_abs","tcd_forest_abs","clc_open_abs","clc_forest_abs","clc0tcd0_prop","clc1tcd1_prop","clc0tcd1_prop","clc1tcd0_prop","tcd_open_prop","tcd_forest_prop","clc_open_prop","clc_forest_prop"
"1892_2012noon.8.44935","roe",8,8,"1892_2012",1892,"f","day",184,109,4,71,0,109,75,180,4,0.592391304347826,0.0217391304347826,0.385869565217391,0,0.592391304347826,0.407608695652174,0.978260869565217,0.0217391304347826
"1897_2012midnight.8.45302","roe",8,8,"1897_2012",1897,"m","night",178,161,13,1,3,164,14,162,16,0.904494382022472,0.0730337078651685,0.00561797752808989,0.0168539325842697,0.921348314606742,0.0786516853932584,0.910112359550562,0.0898876404494382
"1897_2012noon.8.45303","roe",8,8,"1897_2012",1897,"m","day",161,61,82,6,12,73,88,67,94,0.37888198757764,0.509316770186335,0.0372670807453416,0.0745341614906832,0.453416149068323,0.546583850931677,0.416149068322981,0.583850931677019
"1900_2012midnight.8.45641","roe",8,8,"1900_2012",1900,"f","night",177,176,0,1,0,176,1,177,0,0.994350282485876,0,0.00564971751412429,0,0.994350282485876,0.00564971751412429,1,0
"1900_2012noon.8.45642","roe",8,8,"1900_2012",1900,"f","day",160,153,0,7,0,153,7,160,0,0.95625,0,0.04375,0,0.95625,0.04375,1,0
"1901_2012midnight.8.45978","roe",8,8,"1901_2012",1901,"m","night",165,87,64,5,9,96,69,92,73,0.527272727272727,0.387878787878788,0.0303030303030303,0.0545454545454545,0.581818181818182,0.418181818181818,0.557575757575758,0.442424242424242
"1901_2012noon.8.45979","roe",8,8,"1901_2012",1901,"m","day",143,21,105,15,2,23,120,36,107,0.146853146853147,0.734265734265734,0.104895104895105,0.013986013986014,0.160839160839161,0.839160839160839,0.251748251748252,0.748251748251748
"1903_2012midnight.8.46286","roe",8,8,"1903_2012",1903,"f","night",182,118,56,8,0,118,64,126,56,0.648351648351648,0.307692307692308,0.043956043956044,0,0.648351648351648,0.351648351648352,0.692307692307692,0.307692307692308
"1903_2012noon.8.46287","roe",8,8,"1903_2012",1903,"f","day",168,67,92,9,0,67,101,76,92,0.398809523809524,0.547619047619048,0.0535714285714286,0,0.398809523809524,0.601190476190476,0.452380952380952,0.547619047619048
"1905_2012midnight.8.46636","roe",8,8,"1905_2012",1905,"m","night",184,172,0,12,0,172,12,184,0,0.934782608695652,0,0.0652173913043478,0,0.934782608695652,0.0652173913043478,1,0
"1905_2012noon.8.46637","roe",8,8,"1905_2012",1905,"m","day",178,154,1,23,0,154,24,177,1,0.865168539325843,0.00561797752808989,0.129213483146067,0,0.865168539325843,0.134831460674157,0.99438202247191,0.00561797752808989
"1906_2012midnight.8.46998","roe",8,8,"1906_2012",1906,"f","night",179,173,0,6,0,173,6,179,0,0.966480446927374,0,0.0335195530726257,0,0.966480446927374,0.0335195530726257,1,0
"1906_2012noon.8.46999","roe",8,8,"1906_2012",1906,"f","day",167,117,11,38,1,118,49,155,12,0.70059880239521,0.0658682634730539,0.227544910179641,0.00598802395209581,0.706586826347305,0.293413173652695,0.92814371257485,0.0718562874251497
"1910_2012midnight.8.47344","roe",8,8,"1910_2012",1910,"m","night",184,118,37,2,27,145,39,120,64,0.641304347826087,0.201086956521739,0.0108695652173913,0.146739130434783,0.78804347826087,0.21195652173913,0.652173913043478,0.347826086956522
"1910_2012noon.8.47345","roe",8,8,"1910_2012",1910,"m","day",181,89,66,1,25,114,67,90,91,0.49171270718232,0.364640883977901,0.00552486187845304,0.138121546961326,0.629834254143646,0.370165745856354,0.497237569060773,0.502762430939227
"1912_2012midnight.8.47709","roe",8,8,"1912_2012",1912,"f","night",177,168,0,9,0,168,9,177,0,0.949152542372881,0,0.0508474576271186,0,0.949152542372881,0.0508474576271186,1,0
"1912_2012noon.8.47710","roe",8,8,"1912_2012",1912,"f","day",155,132,1,22,0,132,23,154,1,0.851612903225806,0.00645161290322581,0.141935483870968,0,0.851612903225806,0.148387096774194,0.993548387096774,0.00645161290322581
"1914_2012midnight.8.48041","roe",8,8,"1914_2012",1914,"m","night",176,161,0,15,0,161,15,176,0,0.914772727272727,0,0.0852272727272727,0,0.914772727272727,0.0852272727272727,1,0
"1914_2012noon.8.48042","roe",8,8,"1914_2012",1914,"m","day",138,92,0,46,0,92,46,138,0,0.666666666666667,0,0.333333333333333,0,0.666666666666667,0.333333333333333,1,0
"19_2006midnight.2.58165","roe",2,2,"19_2006",19,"m","night",178,118,16,5,39,157,21,123,55,0.662921348314607,0.0898876404494382,0.0280898876404494,0.219101123595506,0.882022471910112,0.117977528089888,0.691011235955056,0.308988764044944
"19_2006noon.2.58164","roe",2,2,"19_2006",19,"m","day",137,10,94,8,25,35,102,18,119,0.072992700729927,0.686131386861314,0.0583941605839416,0.182481751824818,0.255474452554745,0.744525547445255,0.131386861313869,0.868613138686131
"19_2007midnight.2.58479","roe",2,2,"19_2007",19,"m","night",104,64,20,5,15,79,25,69,35,0.615384615384615,0.192307692307692,0.0480769230769231,0.144230769230769,0.759615384615385,0.240384615384615,0.663461538461538,0.336538461538462
"19_2007noon.2.58480","roe",2,2,"19_2007",19,"m","day",102,5,81,3,13,18,84,8,94,0.0490196078431373,0.794117647058823,0.0294117647058824,0.127450980392157,0.176470588235294,0.823529411764706,0.0784313725490196,0.92156862745098
"1920_2003midnight.8.48355","roe",8,8,"1920_2003",1920,"m","night",171,171,0,0,0,171,0,171,0,1,0,0,0,1,0,1,0
"1920_2003noon.8.48356","roe",8,8,"1920_2003",1920,"m","day",99,89,0,10,0,89,10,99,0,0.898989898989899,0,0.101010101010101,0,0.898989898989899,0.101010101010101,1,0
"1922_2003midnight.8.48625","roe",8,8,"1922_2003",1922,"m","night",179,166,0,13,0,166,13,179,0,0.927374301675978,0,0.0726256983240224,0,0.927374301675978,0.0726256983240224,1,0
"1922_2003noon.8.48628","roe",8,8,"1922_2003",1922,"m","day",92,38,2,52,0,38,54,90,2,0.41304347826087,0.0217391304347826,0.565217391304348,0,0.41304347826087,0.58695652173913,0.978260869565217,0.0217391304347826
"1925_2003midnight.8.48896","roe",8,8,"1925_2003",1925,"f","night",182,182,0,0,0,182,0,182,0,1,0,0,0,1,0,1,0
"1925_2003noon.8.48897","roe",8,8,"1925_2003",1925,"f","day",151,151,0,0,0,151,0,151,0,1,0,0,0,1,0,1,0
"1926_2003midnight.8.49229","roe",8,8,"1926_2003",1926,"m","night",171,171,0,0,0,171,0,171,0,1,0,0,0,1,0,1,0
"1926_2003noon.8.49231","roe",8,8,"1926_2003",1926,"m","day",99,86,0,13,0,86,13,99,0,0.868686868686869,0,0.131313131313131,0,0.868686868686869,0.131313131313131,1,0
"1928_2003midnight.8.49499","roe",8,8,"1928_2003",1928,"f","night",181,180,0,1,0,180,1,181,0,0.994475138121547,0,0.00552486187845304,0,0.994475138121547,0.00552486187845304,1,0
"1928_2003noon.8.49501","roe",8,8,"1928_2003",1928,"f","day",139,120,0,19,0,120,19,139,0,0.863309352517986,0,0.136690647482014,0,0.863309352517986,0.136690647482014,1,0
"1928_2005midnight.8.49821","roe",8,8,"1928_2005",1928,"f","night",172,146,6,9,11,157,15,155,17,0.848837209302326,0.0348837209302326,0.0523255813953488,0.063953488372093,0.912790697674419,0.0872093023255814,0.901162790697674,0.0988372093023256
"1928_2005noon.8.49819","roe",8,8,"1928_2005",1928,"f","day",151,117,7,11,16,133,18,128,23,0.774834437086093,0.0463576158940397,0.0728476821192053,0.105960264900662,0.880794701986755,0.119205298013245,0.847682119205298,0.152317880794702
"1931_2012midnight.8.50142","roe",8,8,"1931_2012",1931,"f","night",178,150,6,16,6,156,22,166,12,0.842696629213483,0.0337078651685393,0.0898876404494382,0.0337078651685393,0.876404494382023,0.123595505617978,0.932584269662921,0.0674157303370786
"1931_2012noon.8.50143","roe",8,8,"1931_2012",1931,"f","day",150,103,14,27,6,109,41,130,20,0.686666666666667,0.0933333333333333,0.18,0.04,0.726666666666667,0.273333333333333,0.866666666666667,0.133333333333333
"1932_2009midnight.8.50470","roe",8,8,"1932_2009",1932,"f","night",149,0,149,0,0,0,149,0,149,0,1,0,0,0,1,0,1
"1932_2009noon.8.50471","roe",8,8,"1932_2009",1932,"f","day",136,1,134,1,0,1,135,2,134,0.00735294117647059,0.985294117647059,0.00735294117647059,0,0.00735294117647059,0.992647058823529,0.0147058823529412,0.985294117647059
"1934_2009midnight.8.50755","roe",8,8,"1934_2009",1934,"f","night",170,60,90,17,3,63,107,77,93,0.352941176470588,0.529411764705882,0.1,0.0176470588235294,0.370588235294118,0.629411764705882,0.452941176470588,0.547058823529412
"1934_2009noon.8.50756","roe",8,8,"1934_2009",1934,"f","day",146,25,94,25,2,27,119,50,96,0.171232876712329,0.643835616438356,0.171232876712329,0.0136986301369863,0.184931506849315,0.815068493150685,0.342465753424658,0.657534246575342
"1935_2009midnight.8.51071","roe",8,8,"1935_2009",1935,"f","night",174,144,9,19,2,146,28,163,11,0.827586206896552,0.0517241379310345,0.109195402298851,0.0114942528735632,0.839080459770115,0.160919540229885,0.936781609195402,0.0632183908045977
"1935_2009noon.8.51072","roe",8,8,"1935_2009",1935,"f","day",131,59,39,24,9,68,63,83,48,0.450381679389313,0.297709923664122,0.183206106870229,0.0687022900763359,0.519083969465649,0.480916030534351,0.633587786259542,0.366412213740458
"1936_2011midnight.8.51376","roe",8,8,"1936_2011",1936,"m","night",183,162,0,21,0,162,21,183,0,0.885245901639344,0,0.114754098360656,0,0.885245901639344,0.114754098360656,1,0
"1936_2011noon.8.51377","roe",8,8,"1936_2011",1936,"m","day",177,66,0,111,0,66,111,177,0,0.372881355932203,0,0.627118644067797,0,0.372881355932203,0.627118644067797,1,0
"1937_2010midnight.8.51736","roe",8,8,"1937_2010",1937,"f","night",184,184,0,0,0,184,0,184,0,1,0,0,0,1,0,1,0
"1937_2010noon.8.51737","roe",8,8,"1937_2010",1937,"f","day",183,171,0,12,0,171,12,183,0,0.934426229508197,0,0.0655737704918033,0,0.934426229508197,0.0655737704918033,1,0
"1937_2011midnight.8.52103","roe",8,8,"1937_2011",1937,"f","night",182,174,0,8,0,174,8,182,0,0.956043956043956,0,0.043956043956044,0,0.956043956043956,0.043956043956044,1,0
"1937_2011noon.8.52104","roe",8,8,"1937_2011",1937,"f","day",182,159,0,23,0,159,23,182,0,0.873626373626374,0,0.126373626373626,0,0.873626373626374,0.126373626373626,1,0
"1937_2012midnight.8.52467","roe",8,8,"1937_2012",1937,"f","night",184,181,0,3,0,181,3,184,0,0.983695652173913,0,0.016304347826087,0,0.983695652173913,0.016304347826087,1,0
"1937_2012noon.8.52468","roe",8,8,"1937_2012",1937,"f","day",167,158,0,9,0,158,9,167,0,0.946107784431138,0,0.0538922155688623,0,0.946107784431138,0.0538922155688623,1,0
"1941_2008midnight.8.52818","roe",8,8,"1941_2008",1941,"m","night",178,173,3,2,0,173,5,175,3,0.971910112359551,0.0168539325842697,0.0112359550561798,0,0.971910112359551,0.0280898876404494,0.98314606741573,0.0168539325842697
"1941_2008noon.8.52819","roe",8,8,"1941_2008",1941,"m","day",175,153,1,21,0,153,22,174,1,0.874285714285714,0.00571428571428571,0.12,0,0.874285714285714,0.125714285714286,0.994285714285714,0.00571428571428571
"1952_2011midnight.2.53172","roe",2,2,"1952_2011",1952,"f","night",101,2,95,2,2,4,97,4,97,0.0198019801980198,0.940594059405941,0.0198019801980198,0.0198019801980198,0.0396039603960396,0.96039603960396,0.0396039603960396,0.96039603960396
"1952_2011noon.2.53171","roe",2,2,"1952_2011",1952,"f","day",100,2,96,1,1,3,97,3,97,0.02,0.96,0.01,0.01,0.03,0.97,0.03,0.97
"1953_2012midnight.2.53373","roe",2,2,"1953_2012",1953,"f","night",109,0,109,0,0,0,109,0,109,0,1,0,0,0,1,0,1
"1953_2012noon.2.53372","roe",2,2,"1953_2012",1953,"f","day",107,0,107,0,0,0,107,0,107,0,1,0,0,0,1,0,1
"1956_2010midnight.2.53589","roe",2,2,"1956_2010",1956,"f","night",111,21,64,26,0,21,90,47,64,0.189189189189189,0.576576576576577,0.234234234234234,0,0.189189189189189,0.810810810810811,0.423423423423423,0.576576576576577
"1956_2010noon.2.53588","roe",2,2,"1956_2010",1956,"f","day",104,13,67,22,2,15,89,35,69,0.125,0.644230769230769,0.211538461538462,0.0192307692307692,0.144230769230769,0.855769230769231,0.336538461538462,0.663461538461538
"1958_2010midnight.2.53804","roe",2,2,"1958_2010",1958,"f","night",113,0,109,0,4,4,109,0,113,0,0.964601769911504,0,0.0353982300884956,0.0353982300884956,0.964601769911504,0,1
"1958_2010noon.2.53803","roe",2,2,"1958_2010",1958,"f","day",112,0,109,0,3,3,109,0,112,0,0.973214285714286,0,0.0267857142857143,0.0267857142857143,0.973214285714286,0,1
"1960_2011midnight.2.54029","roe",2,2,"1960_2011",1960,"m","night",120,86,12,15,7,93,27,101,19,0.716666666666667,0.1,0.125,0.0583333333333333,0.775,0.225,0.841666666666667,0.158333333333333
"1960_2011noon.2.54028","roe",2,2,"1960_2011",1960,"m","day",117,36,49,25,7,43,74,61,56,0.307692307692308,0.418803418803419,0.213675213675214,0.0598290598290598,0.367521367521368,0.632478632478632,0.521367521367521,0.478632478632479
"1962_2010midnight.2.54266","roe",2,2,"1962_2010",1962,"m","night",119,41,50,26,2,43,76,67,52,0.34453781512605,0.420168067226891,0.218487394957983,0.0168067226890756,0.361344537815126,0.638655462184874,0.563025210084034,0.436974789915966
"1962_2010noon.2.54265","roe",2,2,"1962_2010",1962,"m","day",115,54,41,16,4,58,57,70,45,0.469565217391304,0.356521739130435,0.139130434782609,0.0347826086956522,0.504347826086956,0.495652173913044,0.608695652173913,0.391304347826087
"1964_2010midnight.2.54500","roe",2,2,"1964_2010",1964,"m","night",114,27,76,1,10,37,77,28,86,0.236842105263158,0.666666666666667,0.0087719298245614,0.087719298245614,0.324561403508772,0.675438596491228,0.245614035087719,0.754385964912281
"1964_2010noon.2.54499","roe",2,2,"1964_2010",1964,"m","day",108,27,73,4,4,31,77,31,77,0.25,0.675925925925926,0.037037037037037,0.037037037037037,0.287037037037037,0.712962962962963,0.287037037037037,0.712962962962963
"1967_2007midnight.2.54721","roe",2,2,"1967_2007",1967,"m","night",117,82,0,35,0,82,35,117,0,0.700854700854701,0,0.299145299145299,0,0.700854700854701,0.299145299145299,1,0
"1967_2007noon.2.54722","roe",2,2,"1967_2007",1967,"m","day",114,92,0,22,0,92,22,114,0,0.807017543859649,0,0.192982456140351,0,0.807017543859649,0.192982456140351,1,0
"1972_2011midnight.2.54953","roe",2,2,"1972_2011",1972,"f","night",115,1,105,0,9,10,105,1,114,0.00869565217391304,0.91304347826087,0,0.0782608695652174,0.0869565217391304,0.91304347826087,0.00869565217391304,0.991304347826087
"1972_2011noon.2.54952","roe",2,2,"1972_2011",1972,"f","day",117,0,110,0,7,7,110,0,117,0,0.94017094017094,0,0.0598290598290598,0.0598290598290598,0.94017094017094,0,1
"1973_2010midnight.2.55185","roe",2,2,"1973_2010",1973,"f","night",108,26,26,11,45,71,37,37,71,0.240740740740741,0.240740740740741,0.101851851851852,0.416666666666667,0.657407407407407,0.342592592592593,0.342592592592593,0.657407407407407
"1973_2010noon.2.55184","roe",2,2,"1973_2010",1973,"f","day",104,1,91,7,5,6,98,8,96,0.00961538461538462,0.875,0.0673076923076923,0.0480769230769231,0.0576923076923077,0.942307692307692,0.0769230769230769,0.923076923076923
"1973_2011midnight.2.55397","roe",2,2,"1973_2011",1973,"f","night",108,29,24,10,45,74,34,39,69,0.268518518518519,0.222222222222222,0.0925925925925926,0.416666666666667,0.685185185185185,0.314814814814815,0.361111111111111,0.638888888888889
"1973_2011noon.2.55396","roe",2,2,"1973_2011",1973,"f","day",110,2,82,11,15,17,93,13,97,0.0181818181818182,0.745454545454545,0.1,0.136363636363636,0.154545454545455,0.845454545454545,0.118181818181818,0.881818181818182
"1976_2006midnight.2.55614","roe",2,2,"1976_2006",1976,"f","night",155,87,33,25,10,97,58,112,43,0.561290322580645,0.212903225806452,0.161290322580645,0.0645161290322581,0.625806451612903,0.374193548387097,0.72258064516129,0.27741935483871
"1976_2006noon.2.55615","roe",2,2,"1976_2006",1976,"f","day",124,36,66,20,2,38,86,56,68,0.290322580645161,0.532258064516129,0.161290322580645,0.0161290322580645,0.306451612903226,0.693548387096774,0.451612903225806,0.548387096774194
"1977_2011midnight.2.55893","roe",2,2,"1977_2011",1977,"f","night",107,0,65,0,42,42,65,0,107,0,0.607476635514019,0,0.392523364485981,0.392523364485981,0.607476635514019,0,1
"1977_2011noon.2.55896","roe",2,2,"1977_2011",1977,"f","day",111,0,109,0,2,2,109,0,111,0,0.981981981981982,0,0.018018018018018,0.018018018018018,0.981981981981982,0,1
"1982_2010midnight.2.56112","roe",2,2,"1982_2010",1982,"m","night",115,0,108,0,7,7,108,0,115,0,0.939130434782609,0,0.0608695652173913,0.0608695652173913,0.939130434782609,0,1
"1982_2010noon.2.56111","roe",2,2,"1982_2010",1982,"m","day",113,0,102,0,11,11,102,0,113,0,0.902654867256637,0,0.0973451327433628,0.0973451327433628,0.902654867256637,0,1
"1985_2010midnight.2.56340","roe",2,2,"1985_2010",1985,"m","night",121,5,54,0,62,67,54,5,116,0.0413223140495868,0.446280991735537,0,0.512396694214876,0.553719008264463,0.446280991735537,0.0413223140495868,0.958677685950413
"1985_2010noon.2.56339","roe",2,2,"1985_2010",1985,"m","day",117,1,104,1,11,12,105,2,115,0.00854700854700855,0.888888888888889,0.00854700854700855,0.094017094017094,0.102564102564103,0.897435897435897,0.0170940170940171,0.982905982905983
"1987_2011midnight.2.56578","roe",2,2,"1987_2011",1987,"m","night",115,24,71,18,2,26,89,42,73,0.208695652173913,0.617391304347826,0.156521739130435,0.0173913043478261,0.226086956521739,0.773913043478261,0.365217391304348,0.634782608695652
"1987_2011noon.2.56577","roe",2,2,"1987_2011",1987,"m","day",112,12,76,21,3,15,97,33,79,0.107142857142857,0.678571428571429,0.1875,0.0267857142857143,0.133928571428571,0.866071428571429,0.294642857142857,0.705357142857143
"1989_2011midnight.2.56805","roe",2,2,"1989_2011",1989,"m","night",118,0,114,0,4,4,114,0,118,0,0.966101694915254,0,0.0338983050847458,0.0338983050847458,0.966101694915254,0,1
"1989_2011noon.2.56804","roe",2,2,"1989_2011",1989,"m","day",114,0,111,0,3,3,111,0,114,0,0.973684210526316,0,0.0263157894736842,0.0263157894736842,0.973684210526316,0,1
"1991_2010midnight.2.57037","roe",2,2,"1991_2010",1991,"f","night",121,19,82,19,1,20,101,38,83,0.15702479338843,0.677685950413223,0.15702479338843,0.00826446280991736,0.165289256198347,0.834710743801653,0.31404958677686,0.685950413223141
"1991_2010noon.2.57036","roe",2,2,"1991_2010",1991,"f","day",110,5,101,4,0,5,105,9,101,0.0454545454545455,0.918181818181818,0.0363636363636364,0,0.0454545454545455,0.954545454545455,0.0818181818181818,0.918181818181818
"1993_2010midnight.2.57268","roe",2,2,"1993_2010",1993,"f","night",102,13,63,22,4,17,85,35,67,0.127450980392157,0.617647058823529,0.215686274509804,0.0392156862745098,0.166666666666667,0.833333333333333,0.343137254901961,0.656862745098039
"1993_2010noon.2.57267","roe",2,2,"1993_2010",1993,"f","day",99,5,87,6,1,6,93,11,88,0.0505050505050505,0.878787878787879,0.0606060606060606,0.0101010101010101,0.0606060606060606,0.939393939393939,0.111111111111111,0.888888888888889
"1994_2010midnight.2.57469","roe",2,2,"1994_2010",1994,"m","night",116,32,55,29,0,32,84,61,55,0.275862068965517,0.474137931034483,0.25,0,0.275862068965517,0.724137931034483,0.525862068965517,0.474137931034483
"1994_2010noon.2.57468","roe",2,2,"1994_2010",1994,"m","day",111,11,69,31,0,11,100,42,69,0.0990990990990991,0.621621621621622,0.279279279279279,0,0.0990990990990991,0.900900900900901,0.378378378378378,0.621621621621622
"1994_2011midnight.2.57696","roe",2,2,"1994_2011",1994,"m","night",121,27,77,16,1,28,93,43,78,0.223140495867769,0.636363636363636,0.132231404958678,0.00826446280991736,0.231404958677686,0.768595041322314,0.355371900826446,0.644628099173554
"1994_2011noon.2.57695","roe",2,2,"1994_2011",1994,"m","day",119,14,82,23,0,14,105,37,82,0.117647058823529,0.689075630252101,0.19327731092437,0,0.117647058823529,0.882352941176471,0.310924369747899,0.689075630252101
"1996_2010midnight.2.57936","roe",2,2,"1996_2010",1996,"f","night",116,58,16,13,29,87,29,71,45,0.5,0.137931034482759,0.112068965517241,0.25,0.75,0.25,0.612068965517241,0.387931034482759
"1996_2010noon.2.57935","roe",2,2,"1996_2010",1996,"f","day",113,18,36,25,34,52,61,43,70,0.15929203539823,0.31858407079646,0.221238938053097,0.300884955752212,0.460176991150442,0.539823008849557,0.380530973451327,0.619469026548673
"2000_2010midnight.2.58976","roe",2,2,"2000_2010",2000,"f","night",121,99,18,4,0,99,22,103,18,0.818181818181818,0.148760330578512,0.0330578512396694,0,0.818181818181818,0.181818181818182,0.851239669421488,0.148760330578512
"2000_2010noon.2.58975","roe",2,2,"2000_2010",2000,"f","day",119,30,79,8,2,32,87,38,81,0.252100840336134,0.663865546218487,0.0672268907563025,0.0168067226890756,0.26890756302521,0.73109243697479,0.319327731092437,0.680672268907563
"2002_2011midnight.2.59216","roe",2,2,"2002_2011",2002,"m","night",120,100,12,6,2,102,18,106,14,0.833333333333333,0.1,0.05,0.0166666666666667,0.85,0.15,0.883333333333333,0.116666666666667
"2002_2011noon.2.59215","roe",2,2,"2002_2011",2002,"m","day",107,62,41,4,0,62,45,66,41,0.579439252336449,0.383177570093458,0.0373831775700935,0,0.579439252336449,0.420560747663551,0.616822429906542,0.383177570093458
"2008_2010midnight.2.59443","roe",2,2,"2008_2010",2008,"m","night",110,0,51,0,59,59,51,0,110,0,0.463636363636364,0,0.536363636363636,0.536363636363636,0.463636363636364,0,1
"2008_2010noon.2.59442","roe",2,2,"2008_2010",2008,"m","day",114,0,108,0,6,6,108,0,114,0,0.947368421052632,0,0.0526315789473684,0.0526315789473684,0.947368421052632,0,1
"2008_2011midnight.2.59667","roe",2,2,"2008_2011",2008,"m","night",114,0,35,0,79,79,35,0,114,0,0.307017543859649,0,0.692982456140351,0.692982456140351,0.307017543859649,0,1
"2008_2011noon.2.59666","roe",2,2,"2008_2011",2008,"m","day",109,0,81,0,28,28,81,0,109,0,0.743119266055046,0,0.256880733944954,0.256880733944954,0.743119266055046,0,1
"2011_2010midnight.2.59890","roe",2,2,"2011_2010",2011,"f","night",118,90,24,2,2,92,26,92,26,0.76271186440678,0.203389830508475,0.0169491525423729,0.0169491525423729,0.779661016949153,0.220338983050847,0.779661016949153,0.220338983050847
"2011_2010noon.2.59889","roe",2,2,"2011_2010",2011,"f","day",116,12,100,3,1,13,103,15,101,0.103448275862069,0.862068965517241,0.0258620689655172,0.00862068965517241,0.112068965517241,0.887931034482759,0.129310344827586,0.870689655172414
"2013_2010midnight.2.60124","roe",2,2,"2013_2010",2013,"f","night",121,28,89,4,0,28,93,32,89,0.231404958677686,0.735537190082645,0.0330578512396694,0,0.231404958677686,0.768595041322314,0.264462809917355,0.735537190082645
"2013_2010noon.2.60123","roe",2,2,"2013_2010",2013,"f","day",116,8,104,4,0,8,108,12,104,0.0689655172413793,0.896551724137931,0.0344827586206897,0,0.0689655172413793,0.931034482758621,0.103448275862069,0.896551724137931
"2014_2010midnight.2.60361","roe",2,2,"2014_2010",2014,"m","night",121,94,22,4,1,95,26,98,23,0.776859504132231,0.181818181818182,0.0330578512396694,0.00826446280991736,0.785123966942149,0.214876033057851,0.809917355371901,0.190082644628099
"2014_2010noon.2.60360","roe",2,2,"2014_2010",2014,"m","day",120,27,88,1,4,31,89,28,92,0.225,0.733333333333333,0.00833333333333333,0.0333333333333333,0.258333333333333,0.741666666666667,0.233333333333333,0.766666666666667
"2014_2011midnight.2.60602","roe",2,2,"2014_2011",2014,"m","night",120,98,14,8,0,98,22,106,14,0.816666666666667,0.116666666666667,0.0666666666666667,0,0.816666666666667,0.183333333333333,0.883333333333333,0.116666666666667
"2014_2011noon.2.60601","roe",2,2,"2014_2011",2014,"m","day",118,21,83,14,0,21,97,35,83,0.177966101694915,0.703389830508475,0.11864406779661,0,0.177966101694915,0.822033898305085,0.296610169491525,0.703389830508475
"2019_2011midnight.2.60840","roe",2,2,"2019_2011",2019,"m","night",119,91,24,4,0,91,28,95,24,0.764705882352941,0.201680672268908,0.0336134453781513,0,0.764705882352941,0.235294117647059,0.798319327731092,0.201680672268908
"2019_2011noon.2.60839","roe",2,2,"2019_2011",2019,"m","day",119,57,57,5,0,57,62,62,57,0.478991596638655,0.478991596638655,0.0420168067226891,0,0.478991596638655,0.521008403361345,0.521008403361345,0.478991596638655
"20_2006midnight.2.71611","roe",2,2,"20_2006",20,"f","night",151,29,36,82,4,33,118,111,40,0.19205298013245,0.23841059602649,0.543046357615894,0.0264900662251656,0.218543046357616,0.781456953642384,0.735099337748344,0.264900662251656
"20_2006noon.2.71612","roe",2,2,"20_2006",20,"f","day",133,13,63,54,3,16,117,67,66,0.0977443609022556,0.473684210526316,0.406015037593985,0.0225563909774436,0.120300751879699,0.879699248120301,0.503759398496241,0.496240601503759
"2029_2011midnight.2.61077","roe",2,2,"2029_2011",2029,"f","night",159,92,46,9,12,104,55,101,58,0.578616352201258,0.289308176100629,0.0566037735849057,0.0754716981132075,0.654088050314465,0.345911949685535,0.635220125786163,0.364779874213836
"2029_2011noon.2.61078","roe",2,2,"2029_2011",2029,"f","day",146,0,142,2,2,2,144,2,144,0,0.972602739726027,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.986301369863014,0.0136986301369863,0.986301369863014
"2030_2010midnight.2.61383","roe",2,2,"2030_2010",2030,"m","night",115,102,10,3,0,102,13,105,10,0.88695652173913,0.0869565217391304,0.0260869565217391,0,0.88695652173913,0.11304347826087,0.91304347826087,0.0869565217391304
"2030_2010noon.2.61382","roe",2,2,"2030_2010",2030,"m","day",117,56,48,13,0,56,61,69,48,0.478632478632479,0.41025641025641,0.111111111111111,0,0.478632478632479,0.521367521367521,0.58974358974359,0.41025641025641
"2037_2011midnight.2.61615","roe",2,2,"2037_2011",2037,"m","night",119,0,87,0,32,32,87,0,119,0,0.73109243697479,0,0.26890756302521,0.26890756302521,0.73109243697479,0,1
"2037_2011noon.2.61614","roe",2,2,"2037_2011",2037,"m","day",118,0,117,0,1,1,117,0,118,0,0.991525423728814,0,0.00847457627118644,0.00847457627118644,0.991525423728814,0,1
"2040_2010midnight.2.61852","roe",2,2,"2040_2010",2040,"f","night",119,10,79,4,26,36,83,14,105,0.0840336134453782,0.663865546218487,0.0336134453781513,0.218487394957983,0.302521008403361,0.697478991596639,0.117647058823529,0.882352941176471
"2040_2010noon.2.61851","roe",2,2,"2040_2010",2040,"f","day",119,5,93,4,17,22,97,9,110,0.0420168067226891,0.781512605042017,0.0336134453781513,0.142857142857143,0.184873949579832,0.815126050420168,0.0756302521008403,0.92436974789916
"2041_2011midnight.15.62089","roe",15,15,"2041_2011",2041,"f","night",185,170,13,2,0,170,15,172,13,0.918918918918919,0.0702702702702703,0.0108108108108108,0,0.918918918918919,0.0810810810810811,0.92972972972973,0.0702702702702703
"2041_2011noon.15.62090","roe",15,15,"2041_2011",2041,"f","day",184,138,42,1,3,141,43,139,45,0.75,0.228260869565217,0.00543478260869565,0.016304347826087,0.766304347826087,0.233695652173913,0.755434782608696,0.244565217391304
"2043_2011midnight.15.62458","roe",15,15,"2043_2011",2043,"f","night",185,178,0,7,0,178,7,185,0,0.962162162162162,0,0.0378378378378378,0,0.962162162162162,0.0378378378378378,1,0
