"","species","population","study_areas_id","aniyr","animals_id","area","time","total","clc0tcd0","clc1tcd1","clc0tcd1","clc1tcd0","open_tcd","forest_tcd","open_clc","forest_clc","clc0tcd0_prop","clc1tcd1_prop","clc0tcd1_prop","clc1tcd0_prop","open_tcd_prop","forest_tcd_prop","open_clc_prop","forest_clc_prop"
"1.787_2006","roe","1","1","787_2006","787",83.398384375,"night",2085,374,1174,95,442,816,1269,469,1616,0.179376498800959,0.563069544364508,0.0455635491606715,0.211990407673861,0.39136690647482,0.60863309352518,0.224940047961631,0.775059952038369
"1.789_2007","roe","1","1","789_2007","789",16.2718688476563,"night",403,189,117,57,40,229,174,246,157,0.468982630272953,0.290322580645161,0.141439205955335,0.0992555831265509,0.568238213399504,0.431761786600496,0.610421836228288,0.389578163771712
"1.791_2007","roe","1","1","791_2007","791",100.503302148437,"night",2509,1527,591,372,19,1546,963,1899,610,0.608609007572738,0.235552012754085,0.14826624153049,0.00757273814268633,0.616181745715425,0.383818254284576,0.756875249103228,0.243124750896772
"1.792_2006","roe","1","1","792_2006","792",46.8623891601562,"night",1169,610,132,424,3,613,556,1034,135,0.521813515825492,0.112917023096664,0.362703165098375,0.00256629597946963,0.524379811804962,0.475620188195038,0.884516680923867,0.115483319076133
"1.792_2007","roe","1","1","792_2007","792",60.64384453125,"night",1515,752,254,463,46,798,717,1215,300,0.496369636963696,0.167656765676568,0.305610561056106,0.0303630363036304,0.526732673267327,0.473267326732673,0.801980198019802,0.198019801980198
"1.796_2005","roe","1","1","796_2005","796",25.1872029296875,"night",629,0,597,0,32,32,597,0,629,0,0.94912559618442,0,0.0508744038155803,0.0508744038155803,0.94912559618442,0,1
"1.797_2005","roe","1","1","797_2005","797",204.311086132813,"night",5106,962,3376,652,116,1078,4028,1614,3492,0.188405797101449,0.661182922052487,0.127692910301606,0.0227183705444575,0.211124167645907,0.788875832354093,0.316098707403055,0.683901292596945
"1.799_2005","roe","1","1","799_2005","799",133.271854882813,"night",3343,253,2459,414,217,470,2873,667,2676,0.0756805264732276,0.73556685611726,0.123840861501645,0.0649117559078672,0.140592282381095,0.859407717618905,0.199521387974873,0.800478612025127
"1.801_2005","roe","1","1","801_2005","801",10.3762623046875,"night",259,113,43,94,9,122,137,207,52,0.436293436293436,0.166023166023166,0.362934362934363,0.0347490347490347,0.471042471042471,0.528957528957529,0.799227799227799,0.200772200772201
"2.11_2006","roe","2","2","11_2006","11",204.315408007812,"night",5112,0,4461,0,651,651,4461,0,5112,0,0.872652582159624,0,0.127347417840376,0.127347417840376,0.872652582159624,0,1
"2.1_2006","roe","2","2","1_2006","1",368.09560703125,"night",9200,3643,4843,279,435,4078,5122,3922,5278,0.395978260869565,0.526413043478261,0.0303260869565217,0.0472826086956522,0.443260869565217,0.556739130434783,0.426304347826087,0.573695652173913
"2.12_2006","roe","2","2","12_2006","12",94.87852890625,"night",2369,607,1606,109,47,654,1715,716,1653,0.256226255804137,0.677923174335162,0.0460109750949768,0.0198395947657239,0.276065850569861,0.723934149430139,0.302237230899114,0.697762769100886
"2.1367_2008","roe","2","2","1367_2008","1367",941.176537792969,"night",23528,2087,20159,717,565,2652,20876,2804,20724,0.0887028221693302,0.856808908534512,0.0304743284597076,0.0240139408364502,0.11271676300578,0.88728323699422,0.119177150629038,0.880822849370962
"2.1402_2010","roe","2","2","1402_2010","1402",43.0028559570313,"night",1077,0,779,0,298,298,779,0,1077,0,0.72330547818013,0,0.27669452181987,0.27669452181987,0.72330547818013,0,1
